,Synonym,Label,Id,Definition,ExternallySourcedDefinition,Comment,Synonym,Species,PartiallyOverlapsWith,Is part of,Has role,RelatedTo,Category,SuperCategory
:Category:Dentatothalamic tract,,Dentatothalamic tract,birnlex_1104,,,,,,,":Category:Midbrain tegmentum,:Category:White matter",,,:Category:Regional part of brain,Regional part of brain
:Category:Diagonal band,,Diagonal band,birnlex_1551,"A white fibre bundle descending in the precommissural septum toward the base of the forebrain, immediately rostral to the lamina terminalis; at the base, the bundle turns in the caudolateral direction; traveling through the ventral substantia innominata alongside the optic tract, it fades before reaching the amygdala. (Mondofacto:  http://www.mondofacto.com/facts/dictionary?Broca%27s%20diagonal%20band)",,,diagonal band of Broca,,,":Category:Septum,:Category:White matter",,,:Category:Regional part of brain,Regional part of brain
:Category:Diagonal sulcus,,Diagonal sulcus,birnlex_1344,"Sulcus observed in the frontal operculum in some, but not all, humans.",,,,:Category:Human,,:Category:Inferior frontal gyrus,,,:Category:Sulcus,Sulcus
:Category:Diencephalon,,Diencephalon,birnlex_1503,Part of the brain consisting of the paired caudal parts of the prosencephalon from which the Thalamus; Hypothalamus; Epithalamus; and Subthalamus are derived.(MeSH),,,Interbrain,,,:Category:Forebrain,:Category:PONS reference structure,,:Category:Regional part of brain,Regional part of brain
:Category:Distal part of hypophysis,,Distal part of hypophysis,birnlex_1022,,,,,,,:Category:Adenohypophysis,,,:Category:Regional part of brain,Regional part of brain
:Category:Dopaminergic cell group A10,,Dopaminergic cell group A10,nlx_144071,,,,,,:Category:Ventral tegmental area,,,,:Category:Cell group,Cell group
:Category:Dopaminergic cell group A13,,Dopaminergic cell group A13,nlx_91101,"A group of cells that fluoresce for dopamine and are distributed in clusters that, in the primate, are ventral and medial to the mammillothalamic tract of the hypothalamus; a few extend into the reuniens nucleus of the thalamus (Felten-1983). In the mouse A13 is located ventral to the mammillothalamic tract of the thalamus in the zona incerta (adapted from Brain Info)",,,A13,,,,,,:Category:Cell group,Cell group
:Category:Dopaminergic cell group A9,,Dopaminergic cell group A9,nlx_54027,,,,,,:Category:Substantia nigra pars compacta,,,,:Category:Cell group,Cell group
:Category:Dorsal accessory olive,,Dorsal accessory olive,nlx_anat_100310,Regional part of inferior olivary complex,,,,,,:Category:Inferior olivary complex,,,:Category:Regional part of brain,Regional part of brain
:Category:Dorsal acoustic stria,,Dorsal acoustic stria,birnlex_1698,white matter structure containing fibers arising from the cochlear nuclear complex,,,,,,":Category:Pontine tegmentum,:Category:White matter",,,:Category:Regional part of brain,Regional part of brain
:Category:Dorsal cap of Kooy,,Dorsal cap of Kooy,nlx_17783,,,,,,,:Category:Inferior olivary complex,,,:Category:Regional part of brain,Regional part of brain
:Category:Dorsal cochlear nucleus,,Dorsal cochlear nucleus,birnlex_2569,,,,posterior cochlear nucleus,,,:Category:Cochlear nuclear complex,,,:Category:Regional part of brain,Regional part of brain
:Category:Dorsal cochlear nucleus deep layer,,Dorsal cochlear nucleus deep layer,nlx_153849,Deepest layer of the dorsal cochlear nucleus,,,,,,:Category:Dorsal cochlear nucleus,,,:Category:Cell layer,Cell layer
:Category:Dorsal cochlear nucleus pyramidal cell layer,,Dorsal cochlear nucleus pyramidal cell layer,nlx_153848,,,,,,,:Category:Dorsal cochlear nucleus,,,:Category:Cell layer,Cell layer
:Category:Dorsal column nucleus,,Dorsal column nucleus,nlx_153860,"A pair of nuclei in the brainstem. The name refers collectively to the cuneate nucleus and gracile nucleus, which are present at the junction between the spinal cord and the medulla oblongata. Both nuclei contain secondary neurons of the dorsal column-medial lemniscus pathway,",,,Dorsal column nuclei,,,,,,:Category:Regional part of brain,Regional part of brain
:Category:Dorsal commissural nucleus,,Dorsal commissural nucleus,nlx_144463,,,,,,,:Category:Spinal cord,,,:Category:Nucleus of CNS,Nucleus of CNS
:Category:Dorsal commissure,,Dorsal commissure,nlx_147892,,,Term from AJ & VH. Why dorsal - given location of deuterocerebrum?,,,,:Category:Deuterocerebral commissural tract,,,:Category:Commissure,Commissure
:Category:Dorsal external arcuate fiber bundle,,Dorsal external arcuate fiber bundle,birnlex_1250,,,,"external arcuate fibers,dorsal external arcuate fibers,dorsal superficial arcuate fibers",,,":Category:White matter,:Category:Medulla oblongata",,,:Category:Regional part of brain,Regional part of brain
:Category:Dorsal hypothalamic area,,Dorsal hypothalamic area,birnlex_777,,,,,,,:Category:Hypothalamus,:Category:PONS reference structure,,:Category:Regional part of brain,Regional part of brain
:Category:Dorsal longitudinal fasciculus,,Dorsal longitudinal fasciculus,birnlex_986,"A fiber bundle containing fibers from nuclei of the hypothalamus that project to the dorsal tegmental nucleus and other regions of the midbrain and the pons, as well as fibers originating in the pontine reticular formation and the medullary reticular formation that project to the thalamus and other regions of the forebrain (Carpenter-83). In NeuroNames it is a composite structure consisting of the dorsal longitudinal fasciculus of hypothalamus, the dorsal longitudinal fasciculus of midbrain, the dorsal longitudinal fasciculus of pons and the dorsal longitudinal fasciculus of medulla. (NeuroNames)","The term dorsal longitudinal fasciculus refers to a pathway containing fibers from nuclei of the hypothalamus that project to the dorsal tegmental nucleus and other regions of the midbrain and the pons, as well as fibers originating in the pontine reticular formation and the medullary reticular formation that project to the thalamus and other regions of the forebrain (Carpenter-83). In NeuroNames it is a composite structure consisting of the dorsal longitudinal fasciculus of hypothalamus, the dorsal longitudinal fasciculus of midbrain, the dorsal longitudinal fasciculus of pons and the dorsal longitudinal fasciculus of medulla. (NeuroNames)",,,,,,,,":Category:Regional part of brain,:Category:Fasciculus",Regional part of brain
:Category:Dorsal longitudinal fasciculus of hypothalamus,,Dorsal longitudinal fasciculus of hypothalamus,birnlex_898,Part of dorsal longitudinal fasciculus located within the hypothalamus,,,,,,":Category:Hypothalamus,:Category:Dorsal longitudinal fasciculus",,,:Category:Regional part of brain,Regional part of brain
:Category:Dorsal longitudinal fasciculus of medulla,,Dorsal longitudinal fasciculus of medulla,birnlex_1257,Part of dorsal longitudinal fasciculus located in the medulla,,,,,,":Category:Dorsal longitudinal fasciculus,:Category:Medulla oblongata",,,:Category:Regional part of brain,Regional part of brain
:Category:Dorsal longitudinal fasciculus of midbrain,,Dorsal longitudinal fasciculus of midbrain,birnlex_893,Part of dorsal longitudinal fasciculus located in the midbrain tegmentum,,,,,,":Category:Dorsal longitudinal fasciculus,:Category:Midbrain tegmentum",,,:Category:Regional part of brain,Regional part of brain
:Category:Dorsal longitudinal fasciculus of pons,,Dorsal longitudinal fasciculus of pons,birnlex_1707,Part of dorsal longitudinal fasciculus located within the pons,,,,,,":Category:Pontine tegmentum,:Category:Dorsal longitudinal fasciculus",,,:Category:Regional part of brain,Regional part of brain
:Category:Dorsal motor nucleus of vagus nerve,,Dorsal motor nucleus of vagus nerve,birnlex_2642,,,,"dorsal vagal nucleus,nucleus alaris,dorsal efferent nucleus of vagus,dorsal motor nucleus of the vagus,dorsal motor nucleus of X,dorsal motor nucleus of vagus",,,":Category:Medulla oblongata,:Category:Central autonomic network",:Category:Cranial nerve nucleus,,:Category:Regional part of brain,Regional part of brain
:Category:Dorsal nerve root of cervical spinal cord,,Dorsal nerve root of cervical spinal cord,birnlex_964,,,,Posterior nerve root of cervical spinal cord,,,:Category:Cervical spinal cord,,,:Category:Nerve root part of cervical spinal cord,Nerve root part of cervical spinal cord
:Category:Dorsal nerve root of lumbar spinal cord,,Dorsal nerve root of lumbar spinal cord,birnlex_1259,,,,Posterior nerve root of lumbar spinal cord,,,:Category:Lumbar spinal cord,,,:Category:Nerve root part of lumbar spinal cord,Nerve root part of lumbar spinal cord
:Category:Dorsal nerve root of sacral spinal cord,,Dorsal nerve root of sacral spinal cord,birnlex_1469,,,,Posterior nerve root of sacral spinal cord,,,:Category:Sacral spinal cord,,,:Category:Nerve root part of sacral spinal cord,Nerve root part of sacral spinal cord
:Category:Dorsal nerve root of thoracic spinal cord,,Dorsal nerve root of thoracic spinal cord,birnlex_1601,,,,Posterior nerve root of thoracic spinal cord,,,:Category:Thoracic spinal cord,,,:Category:Nerve root part of thoracic spinal cord,Nerve root part of thoracic spinal cord
:Category:Dorsal nucleus of lateral geniculate body,,Dorsal nucleus of lateral geniculate body,birnlex_1595,"Part of lateral geniculate nucleus that receives major input from the retina and has reciprocal connections with the primary visual cortex and the thalamic reticular nucleus (adapated from Paxinos, The Rat Nervous System, 2nd ed, Academic Press, 1995)",,,"nucleus geniculatus lateralis pars dorsalis,dorsal lateral geniculate nucleus",:Category:Mammal,,":Category:Lateral geniculate nucleus,:Category:Visual system",:Category:Thalamic relay nucleus,,:Category:Nucleus of CNS,Nucleus of CNS
:Category:Dorsal nucleus of lateral lemniscus,,Dorsal nucleus of lateral lemniscus,birnlex_894,,,,,,,:Category:Nuclei of the lateral lemniscus,,,:Category:Regional part of brain,Regional part of brain
:Category:Dorsal nucleus of medial geniculate body,,Dorsal nucleus of medial geniculate body,birnlex_1608,,,,"nucleus corporis geniculati medialis,nucleus geniculatus medialis pars dorsalis,nucleus geniculatus medialis fibrosus (Hassler),dorsal part,medial geniculate complex,medial geniculate nucleus,dorsal nucleus of medial geniculate body,pars dorsalis,dorsal nucleus of medial geniculate complex",,,:Category:Medial geniculate body,,,:Category:Regional part of brain,Regional part of brain
:Category:Dorsal nucleus of trapezoid body,,Dorsal nucleus of trapezoid body,birnlex_2575,,,,,,,:Category:Trapezoid nuclear complex,,,:Category:Regional part of brain,Regional part of brain
:Category:Dorsal oculomotor nucleus,,Dorsal oculomotor nucleus,birnlex_793,,,,,,,:Category:Oculomotor nuclear complex,,,:Category:Regional part of brain,Regional part of brain
:Category:Dorsal raphe nucleus,,Dorsal raphe nucleus,birnlex_982,The dorsal raphe nucleus is the largest of the raphe nuclei and is responsible for the majority of GABAergic projections to the forebrain,,,"Dorsal raphe,dorsal nucleus raphe,dorsal nucleus raph̩",,,":Category:Midbrain tegmentum,:Category:Raphe Nuclei",,,:Category:Nucleus of CNS,Nucleus of CNS
:Category:Dorsal root ganglion,,Dorsal root ganglion,birnlex_2596,"* Sensory ganglia located on the dorsal spinal roots within the vertebral column. The spinal ganglion cells are pseudounipolar. The single primary branch bifurcates sending a peripheral process to carry sensory information from the periphery and a central branch which relays that information to the spinal cord or brain. (MSH) * ganglion found on the posterior root of each spinal nerve, composed of the unipolar nerve cell bodies of the sensory neurons of the nerve. (CSP)",,,DRG,,,,,,:Category:Spinal ganglion part of peripheral nervous system,Spinal ganglion part of peripheral nervous system
:Category:Dorsal septal nucleus,,Dorsal septal nucleus,birnlex_704,,,,,,,:Category:Septal nuclear complex,,,:Category:Regional part of brain,Regional part of brain
:Category:Dorsal striatum,,Dorsal striatum,nlx_144489,,,,,,:Category:SNc,:Category:Striatum,":Category:Passive avoidance,:Category:Learning,:Category:Taste aversion learning",,:Category:Regional part of brain,Regional part of brain
:Category:Dorsal striatum of rodent,,Dorsal striatum of rodent,nlx_10585,,,,,:Category:Rodent,,,,,:Category:Dorsal striatum,Dorsal striatum
